<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,25/09/18,15:18,115280,115290,115200,115220,834
SPFB.RTS-12.18,1,25/09/18,15:19,115230,115250,115220,115230,260
SPFB.RTS-12.18,1,25/09/18,15:20,115240,115290,115230,115270,211
SPFB.RTS-12.18,1,25/09/18,15:21,115280,115350,115270,115330,487
SPFB.RTS-12.18,1,25/09/18,15:22,115330,115330,115240,115240,414
SPFB.RTS-12.18,1,25/09/18,15:23,115240,115280,115230,115270,297
SPFB.RTS-12.18,1,25/09/18,15:24,115270,115290,115230,115250,104
SPFB.RTS-12.18,1,25/09/18,15:25,115240,115250,115180,115220,565
SPFB.RTS-12.18,1,25/09/18,15:26,115230,115280,115220,115250,189
SPFB.RTS-12.18,1,25/09/18,15:27,115250,115270,115200,115230,272
SPFB.RTS-12.18,1,25/09/18,15:28,115250,115250,115200,115200,117
SPFB.RTS-12.18,1,25/09/18,15:29,115200,115220,115170,115200,482
SPFB.RTS-12.18,1,25/09/18,15:30,115210,115240,115200,115220,191
SPFB.RTS-12.18,1,25/09/18,15:31,115220,115230,115180,115200,459
SPFB.RTS-12.18,1,25/09/18,15:32,115210,115210,115180,115200,46
SPFB.RTS-12.18,1,25/09/18,15:33,115190,115240,115160,115170,387
SPFB.RTS-12.18,1,25/09/18,15:34,115170,115170,115090,115100,724
SPFB.RTS-12.18,1,25/09/18,15:35,115090,115120,114980,115080,1889
SPFB.RTS-12.18,1,25/09/18,15:36,115060,115120,115050,115060,583
SPFB.RTS-12.18,1,25/09/18,15:37,115070,115140,115030,115110,961
SPFB.RTS-12.18,1,25/09/18,15:38,115110,115110,115060,115060,129
SPFB.RTS-12.18,1,25/09/18,15:39,115060,115120,115020,115080,455
SPFB.RTS-12.18,1,25/09/18,15:40,115080,115080,115040,115050,189
SPFB.RTS-12.18,1,25/09/18,15:41,115040,115060,115040,115060,137
SPFB.RTS-12.18,1,25/09/18,15:42,115060,115120,115040,115120,430
SPFB.RTS-12.18,1,25/09/18,15:43,115110,115210,115110,115170,1006
SPFB.RTS-12.18,1,25/09/18,15:44,115170,115240,115170,115180,449
SPFB.RTS-12.18,1,25/09/18,15:45,115190,115210,115160,115210,236
SPFB.RTS-12.18,1,25/09/18,15:46,115210,115210,115160,115200,293
SPFB.RTS-12.18,1,25/09/18,15:47,115200,115250,115200,115230,345
SPFB.RTS-12.18,1,25/09/18,15:48,115240,115270,115230,115260,358
SPFB.RTS-12.18,1,25/09/18,15:49,115260,115270,115240,115250,165
SPFB.RTS-12.18,1,25/09/18,15:50,115240,115300,115240,115270,429
SPFB.RTS-12.18,1,25/09/18,15:51,115270,115300,115270,115280,183
SPFB.RTS-12.18,1,25/09/18,15:52,115300,115320,115270,115280,331
SPFB.RTS-12.18,1,25/09/18,15:53,115280,115290,115220,115270,449
SPFB.RTS-12.18,1,25/09/18,15:54,115270,115310,115260,115280,188
SPFB.RTS-12.18,1,25/09/18,15:55,115280,115280,115230,115230,159
SPFB.RTS-12.18,1,25/09/18,15:56,115240,115290,115210,115270,207
SPFB.RTS-12.18,1,25/09/18,15:57,115280,115300,115270,115280,122
SPFB.RTS-12.18,1,25/09/18,15:58,115280,115300,115270,115290,157
SPFB.RTS-12.18,1,25/09/18,15:59,115300,115320,115260,115260,339
SPFB.RTS-12.18,1,25/09/18,16:00,115260,115270,115230,115250,272
SPFB.RTS-12.18,1,25/09/18,16:01,115250,115290,115220,115250,216
SPFB.RTS-12.18,1,25/09/18,16:02,115250,115260,115140,115220,755
SPFB.RTS-12.18,1,25/09/18,16:03,115220,115250,115190,115210,553
SPFB.RTS-12.18,1,25/09/18,16:04,115220,115220,115130,115130,191
SPFB.RTS-12.18,1,25/09/18,16:05,115120,115130,115030,115090,758
SPFB.RTS-12.18,1,25/09/18,16:06,115110,115240,115050,115230,655
SPFB.RTS-12.18,1,25/09/18,16:07,115230,115230,115160,115180,270
SPFB.RTS-12.18,1,25/09/18,16:08,115180,115240,115170,115240,121
SPFB.RTS-12.18,1,25/09/18,16:09,115230,115340,115230,115300,937
SPFB.RTS-12.18,1,25/09/18,16:10,115310,115310,115270,115280,145
SPFB.RTS-12.18,1,25/09/18,16:11,115280,115330,115270,115310,190
SPFB.RTS-12.18,1,25/09/18,16:12,115310,115320,115290,115310,123
SPFB.RTS-12.18,1,25/09/18,16:13,115310,115330,115290,115300,168
SPFB.RTS-12.18,1,25/09/18,16:14,115300,115300,115250,115250,422
SPFB.RTS-12.18,1,25/09/18,16:15,115240,115270,115230,115260,405
SPFB.RTS-12.18,1,25/09/18,16:16,115260,115270,115180,115250,614
